,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
238,lira,21,class,6,2500,2500,0.0312,0.7857,0.5161,0.1204,0.0020
239,lira,21,class,7,2500,2500,0.0220,0.5556,0.5077,0.1068,0.0008
240,lira,21,class,8,2500,2500,0.0176,0.8333,0.5057,0.1004,0.0020
241,lira,21,class,9,2500,2500,0.0364,0.5968,0.5156,0.1088,0.0000
242,lira,22,Entire dataset,,25000,25000,0.0270,0.5556,0.5155,0.1084,0.0012
243,lira,22,class,0,2500,2500,0.0592,0.5665,0.5309,0.1140,0.0000
244,lira,22,class,1,2500,2500,0.0340,0.7500,0.5154,0.1044,0.0016
245,lira,22,class,2,2500,2500,0.0392,0.7143,0.5203,0.1096,0.0020
246,lira,22,class,3,2500,2500,0.0276,0.7500,0.5129,0.1132,0.0000
247,lira,22,class,4,2500,2500,0.0624,0.6000,0.5348,0.1236,0.0008
248,lira,22,class,5,2500,2500,0.0276,0.5826,0.5086,0.1012,0.0008
249,lira,22,class,6,2500,2500,0.0180,0.8333,0.5035,0.0892,0.0004
250,lira,22,class,7,2500,2500,0.0372,0.5949,0.5249,0.1228,0.0000
251,lira,22,class,8,2500,2500,0.0216,0.6250,0.4987,0.1020,0.0008
252,lira,22,class,9,2500,2500,0.0364,0.7500,0.5071,0.1212,0.0012
253,lira,23,Entire dataset,,25000,25000,0.0285,0.6154,0.5179,0.1122,0.0014
254,lira,23,class,0,2500,2500,0.0404,0.8000,0.5124,0.1100,0.0008
255,lira,23,class,1,2500,2500,0.0416,0.7500,0.5162,0.1060,0.0020
256,lira,23,class,2,2500,2500,0.0452,1.0000,0.5260,0.1092,0.0012
257,lira,23,class,3,2500,2500,0.0424,0.7500,0.5220,0.1208,0.0012
258,lira,23,class,4,2500,2500,0.0604,0.7407,0.5309,0.1112,0.0000
259,lira,23,class,5,2500,2500,0.0404,0.5714,0.5235,0.1120,0.0000
260,lira,23,class,6,2500,2500,0.0380,0.8889,0.5203,0.1068,0.0040
261,lira,23,class,7,2500,2500,0.0236,0.5676,0.5086,0.1040,0.0000
262,lira,23,class,8,2500,2500,0.0328,0.7500,0.5148,0.1284,0.0004
263,lira,23,class,9,2500,2500,0.0296,0.8333,0.5114,0.1084,0.0024
264,lira,24,Entire dataset,,25000,25000,0.0198,0.5351,0.5125,0.1042,0.0008
265,lira,24,class,0,2500,2500,0.0288,0.7500,0.5098,0.0996,0.0012
266,lira,24,class,1,2500,2500,0.0316,0.7500,0.5134,0.0956,0.0012
267,lira,24,class,2,2500,2500,0.0356,0.7037,0.5204,0.1164,0.0008
268,lira,24,class,3,2500,2500,0.0512,0.7500,0.5216,0.0960,0.0012
269,lira,24,class,4,2500,2500,0.0428,0.5556,0.5204,0.1012,0.0008
270,lira,24,class,5,2500,2500,0.0228,0.6667,0.5091,0.1092,0.0008
271,lira,24,class,6,2500,2500,0.0308,0.5714,0.5149,0.1108,0.0004
272,lira,24,class,7,2500,2500,0.0176,0.7500,0.5059,0.1080,0.0012
273,lira,24,class,8,2500,2500,0.0172,0.5833,0.4993,0.0908,0.0000
274,lira,24,class,9,2500,2500,0.0336,0.5942,0.5147,0.1040,0.0004
275,lira,25,Entire dataset,,25000,25000,0.0250,0.5541,0.5141,0.1094,0.0009
276,lira,25,class,0,2500,2500,0.0276,0.6203,0.5092,0.1092,0.0000
277,lira,25,class,1,2500,2500,0.0140,0.5217,0.4964,0.0976,0.0004
278,lira,25,class,2,2500,2500,0.0344,1.0000,0.5147,0.1132,0.0024
279,lira,25,class,3,2500,2500,0.0544,1.0000,0.5294,0.1148,0.0016
280,lira,25,class,4,2500,2500,0.0316,0.5593,0.5122,0.1060,0.0000
281,lira,25,class,5,2500,2500,0.0508,0.7692,0.5267,0.1240,0.0024
282,lira,25,class,6,2500,2500,0.0172,1.0000,0.5074,0.1128,0.0016
283,lira,25,class,7,2500,2500,0.0508,0.6500,0.5281,0.1280,0.0000
284,lira,25,class,8,2500,2500,0.0336,1.0000,0.5071,0.0984,0.0012
285,lira,25,class,9,2500,2500,0.0360,1.0000,0.5163,0.1176,0.0012
286,lira,26,Entire dataset,,25000,25000,0.0224,0.5660,0.5151,0.1090,0.0011
287,lira,26,class,0,2500,2500,0.0368,1.0000,0.5217,0.1192,0.0016
288,lira,26,class,1,2500,2500,0.0356,0.8333,0.5139,0.0888,0.0020
289,lira,26,class,2,2500,2500,0.0480,0.7500,0.5322,0.1196,0.0012
290,lira,26,class,3,2500,2500,0.0364,0.5464,0.5180,0.1148,0.0000
291,lira,26,class,4,2500,2500,0.0420,0.8000,0.5153,0.1116,0.0016
292,lira,26,class,5,2500,2500,0.0424,0.6053,0.5207,0.1180,0.0004
293,lira,26,class,6,2500,2500,0.0400,0.5528,0.5093,0.0892,0.0000
