,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
129,lira,11,class,7,3132,3133,0.0552,1.0000,0.5287,0.1261,0.0153
130,lira,11,class,8,2925,2926,0.0600,1.0000,0.5483,0.1504,0.0154
131,lira,11,class,9,2974,2975,0.0653,1.0000,0.5470,0.1516,0.0195
132,lira,12,Entire dataset,,29997,30003,0.0565,1.0000,0.5470,0.1392,0.0191
133,lira,12,class,0,2961,2962,0.0464,1.0000,0.5267,0.1169,0.0118
134,lira,12,class,1,3371,3371,0.0475,1.0000,0.5356,0.1302,0.0089
135,lira,12,class,2,2979,2979,0.0920,1.0000,0.5677,0.1558,0.0302
136,lira,12,class,3,3065,3066,0.0618,1.0000,0.5462,0.1409,0.0225
137,lira,12,class,4,2921,2921,0.0442,1.0000,0.5291,0.1308,0.0123
138,lira,12,class,5,2710,2711,0.0925,1.0000,0.5750,0.1646,0.0284
139,lira,12,class,6,2959,2959,0.0591,1.0000,0.5401,0.1396,0.0223
140,lira,12,class,7,3132,3133,0.0535,1.0000,0.5393,0.1402,0.0105
141,lira,12,class,8,2925,2926,0.0963,1.0000,0.5612,0.1357,0.0246
142,lira,12,class,9,2974,2975,0.0705,1.0000,0.5547,0.1537,0.0175
143,lira,13,Entire dataset,,29997,30003,0.0504,1.0000,0.5426,0.1391,0.0183
144,lira,13,class,0,2961,2962,0.0360,1.0000,0.5220,0.1287,0.0142
145,lira,13,class,1,3371,3371,0.0466,1.0000,0.5263,0.1216,0.0089
146,lira,13,class,2,2979,2979,0.0849,1.0000,0.5671,0.1631,0.0188
147,lira,13,class,3,3065,3066,0.0854,1.0000,0.5643,0.1468,0.0173
148,lira,13,class,4,2921,2921,0.0476,1.0000,0.5322,0.1226,0.0147
149,lira,13,class,5,2710,2711,0.0652,1.0000,0.5527,0.1601,0.0277
150,lira,13,class,6,2959,2959,0.0477,1.0000,0.5280,0.1227,0.0108
151,lira,13,class,7,3132,3133,0.0734,1.0000,0.5462,0.1386,0.0160
