,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
210,lira,19,class,0,2474,2474,0.2449,1.0000,0.6958,0.3112,0.0760
211,lira,19,class,1,6930,6931,0.1926,1.0000,0.6551,0.2553,0.0524
212,lira,19,class,2,5292,5293,0.2212,1.0000,0.6709,0.2757,0.0735
213,lira,19,class,3,4248,4249,0.3810,1.0000,0.7782,0.3884,0.1066
214,lira,19,class,4,3729,3729,0.2255,1.0000,0.6781,0.2837,0.0619
215,lira,19,class,5,3441,3441,0.3223,1.0000,0.7439,0.3575,0.0724
216,lira,19,class,6,2863,2864,0.3522,1.0000,0.7692,0.3950,0.1093
217,lira,19,class,7,2797,2798,0.2597,1.0000,0.7040,0.3139,0.1048
218,lira,19,class,8,2522,2523,0.3785,1.0000,0.7801,0.4124,0.1400
219,lira,19,class,9,2329,2330,0.3463,1.0000,0.7655,0.3985,0.1155
220,lira,20,Entire dataset,,36625,36632,0.2746,1.0000,0.7163,0.3300,0.0958
221,lira,20,class,0,2474,2474,0.2482,1.0000,0.6984,0.3100,0.0796
222,lira,20,class,1,6930,6931,0.2037,1.0000,0.6583,0.2534,0.0577
223,lira,20,class,2,5292,5293,0.2138,1.0000,0.6708,0.2708,0.0728
224,lira,20,class,3,4248,4249,0.3516,1.0000,0.7642,0.3905,0.0927
225,lira,20,class,4,3729,3729,0.2293,1.0000,0.6813,0.2840,0.0882
226,lira,20,class,5,3441,3441,0.3316,1.0000,0.7538,0.3816,0.0895
227,lira,20,class,6,2863,2864,0.3788,1.0000,0.7812,0.4226,0.1341
228,lira,20,class,7,2797,2798,0.2826,1.0000,0.7139,0.3271,0.1040
229,lira,20,class,8,2522,2523,0.3534,1.0000,0.7713,0.4136,0.1443
230,lira,20,class,9,2329,2330,0.3338,1.0000,0.7580,0.3817,0.1331
231,lira,21,Entire dataset,,36625,36632,0.2799,1.0000,0.7188,0.3296,0.1005
232,lira,21,class,0,2474,2474,0.2773,1.0000,0.7098,0.3084,0.0861
233,lira,21,class,1,6930,6931,0.2139,1.0000,0.6641,0.2616,0.0629
234,lira,21,class,2,5292,5293,0.2159,1.0000,0.6684,0.2583,0.0622
235,lira,21,class,3,4248,4249,0.3655,1.0000,0.7751,0.4035,0.1504
236,lira,21,class,4,3729,3729,0.2196,1.0000,0.6748,0.2698,0.0636
237,lira,21,class,5,3441,3441,0.3310,1.0000,0.7479,0.3746,0.1069
238,lira,21,class,6,2863,2864,0.3739,1.0000,0.7826,0.4230,0.1429
239,lira,21,class,7,2797,2798,0.2769,1.0000,0.7119,0.3236,0.0894
240,lira,21,class,8,2522,2523,0.3788,1.0000,0.7853,0.4381,0.1959
241,lira,21,class,9,2329,2330,0.3373,1.0000,0.7558,0.3731,0.1039
242,lira,22,Entire dataset,,36625,36632,0.2676,1.0000,0.7132,0.3253,0.0911
243,lira,22,class,0,2474,2474,0.2514,1.0000,0.6954,0.2971,0.0772
244,lira,22,class,1,6930,6931,0.2144,1.0000,0.6646,0.2606,0.0531
245,lira,22,class,2,5292,5293,0.1898,1.0000,0.6559,0.2651,0.0673
246,lira,22,class,3,4248,4249,0.3436,1.0000,0.7648,0.4042,0.1099
247,lira,22,class,4,3729,3729,0.2271,1.0000,0.6795,0.2797,0.0778
248,lira,22,class,5,3441,3441,0.3316,1.0000,0.7529,0.3793,0.0599
249,lira,22,class,6,2863,2864,0.3631,1.0000,0.7768,0.4223,0.1610
250,lira,22,class,7,2797,2798,0.2790,1.0000,0.7045,0.2971,0.0876
251,lira,22,class,8,2522,2523,0.3598,1.0000,0.7708,0.4215,0.1538
252,lira,22,class,9,2329,2330,0.3230,1.0000,0.7492,0.3783,0.0915
253,lira,23,Entire dataset,,36625,36632,0.2811,1.0000,0.7208,0.3255,0.0957
254,lira,23,class,0,2474,2474,0.2478,1.0000,0.6965,0.2967,0.0711
255,lira,23,class,1,6930,6931,0.2234,1.0000,0.6706,0.2517,0.0509
256,lira,23,class,2,5292,5293,0.2185,1.0000,0.6735,0.2774,0.0693
257,lira,23,class,3,4248,4249,0.3650,1.0000,0.7710,0.3766,0.1184
258,lira,23,class,4,3729,3729,0.2446,1.0000,0.6908,0.2918,0.0864
259,lira,23,class,5,3441,3441,0.3435,1.0000,0.7566,0.3787,0.1011
260,lira,23,class,6,2863,2864,0.3763,1.0000,0.7776,0.3947,0.1268
261,lira,23,class,7,2797,2798,0.2716,1.0000,0.7085,0.3028,0.1019
262,lira,23,class,8,2522,2523,0.3646,1.0000,0.7736,0.4068,0.1697
263,lira,23,class,9,2329,2330,0.3454,1.0000,0.7648,0.4010,0.1241
264,lira,24,Entire dataset,,36625,36632,0.2643,1.0000,0.7132,0.3244,0.0895
265,lira,24,class,0,2474,2474,0.2619,1.0000,0.7032,0.3274,0.1047
266,lira,24,class,1,6930,6931,0.1890,1.0000,0.6534,0.2537,0.0558
267,lira,24,class,2,5292,5293,0.1985,1.0000,0.6625,0.2757,0.0631
268,lira,24,class,3,4248,4249,0.3499,1.0000,0.7632,0.3816,0.1040
269,lira,24,class,4,3729,3729,0.2226,1.0000,0.6799,0.2813,0.0845
270,lira,24,class,5,3441,3441,0.3293,1.0000,0.7487,0.3705,0.0790
271,lira,24,class,6,2863,2864,0.3585,1.0000,0.7693,0.3912,0.1212
272,lira,24,class,7,2797,2798,0.2758,1.0000,0.7169,0.3346,0.0987
273,lira,24,class,8,2522,2523,0.3494,1.0000,0.7699,0.4100,0.1257
274,lira,24,class,9,2329,2330,0.3510,1.0000,0.7608,0.3787,0.1095
275,lira,25,Entire dataset,,36625,36632,0.2673,1.0000,0.7126,0.3248,0.0947
276,lira,25,class,0,2474,2474,0.2575,1.0000,0.7006,0.3056,0.0873
277,lira,25,class,1,6930,6931,0.1884,1.0000,0.6517,0.2525,0.0544
278,lira,25,class,2,5292,5293,0.2097,1.0000,0.6650,0.2562,0.0497
279,lira,25,class,3,4248,4249,0.3537,1.0000,0.7655,0.3955,0.1088
280,lira,25,class,4,3729,3729,0.2207,1.0000,0.6755,0.2800,0.0767
281,lira,25,class,5,3441,3441,0.3249,1.0000,0.7491,0.3737,0.1136
282,lira,25,class,6,2863,2864,0.3770,1.0000,0.7856,0.4261,0.1366
283,lira,25,class,7,2797,2798,0.2651,1.0000,0.7070,0.3178,0.0987
284,lira,25,class,8,2522,2523,0.3515,1.0000,0.7678,0.4136,0.1657
285,lira,25,class,9,2329,2330,0.3188,1.0000,0.7481,0.3654,0.1151
286,lira,26,Entire dataset,,36625,36632,0.2804,1.0000,0.7204,0.3269,0.0973
287,lira,26,class,0,2474,2474,0.2753,1.0000,0.7136,0.3238,0.0732
288,lira,26,class,1,6930,6931,0.2030,1.0000,0.6616,0.2563,0.0610
289,lira,26,class,2,5292,5293,0.2272,1.0000,0.6800,0.2742,0.0595
290,lira,26,class,3,4248,4249,0.3544,1.0000,0.7688,0.4044,0.1052
291,lira,26,class,4,3729,3729,0.2143,1.0000,0.6733,0.2751,0.0831
292,lira,26,class,5,3441,3441,0.3400,1.0000,0.7567,0.3726,0.0712
293,lira,26,class,6,2863,2864,0.3623,1.0000,0.7716,0.4027,0.1411
294,lira,26,class,7,2797,2798,0.2790,1.0000,0.7111,0.3050,0.0690
295,lira,26,class,8,2522,2523,0.4022,1.0000,0.7924,0.4128,0.1622
296,lira,26,class,9,2329,2330,0.3635,1.0000,0.7655,0.3697,0.1232
297,lira,27,Entire dataset,,36625,36632,0.2723,1.0000,0.7147,0.3235,0.0957
298,lira,27,class,0,2474,2474,0.2769,1.0000,0.7091,0.3266,0.0869
299,lira,27,class,1,6930,6931,0.2034,1.0000,0.6599,0.2491,0.0583
300,lira,27,class,2,5292,5293,0.2125,1.0000,0.6680,0.2600,0.0707
301,lira,27,class,3,4248,4249,0.3445,1.0000,0.7646,0.4054,0.0939
302,lira,27,class,4,3729,3729,0.2180,1.0000,0.6735,0.2800,0.0783
303,lira,27,class,5,3441,3441,0.3200,1.0000,0.7452,0.3557,0.1003
304,lira,27,class,6,2863,2864,0.3893,1.0000,0.7831,0.4010,0.1247
305,lira,27,class,7,2797,2798,0.2547,1.0000,0.7039,0.3121,0.1044
306,lira,27,class,8,2522,2523,0.3705,1.0000,0.7761,0.4148,0.1570
307,lira,27,class,9,2329,2330,0.3373,1.0000,0.7503,0.3701,0.1035
308,lira,28,Entire dataset,,36625,36632,0.2666,1.0000,0.7129,0.3238,0.0979
309,lira,28,class,0,2474,2474,0.2478,1.0000,0.6912,0.2991,0.0865
310,lira,28,class,1,6930,6931,0.2171,1.0000,0.6672,0.2619,0.0626
311,lira,28,class,2,5292,5293,0.1991,1.0000,0.6622,0.2646,0.0769
312,lira,28,class,3,4248,4249,0.3645,1.0000,0.7747,0.4108,0.1165
313,lira,28,class,4,3729,3729,0.2030,1.0000,0.6643,0.2719,0.0743
314,lira,28,class,5,3441,3441,0.3115,1.0000,0.7364,0.3412,0.0785
315,lira,28,class,6,2863,2864,0.3557,1.0000,0.7708,0.4062,0.1394
316,lira,28,class,7,2797,2798,0.2568,1.0000,0.7065,0.3175,0.0937
317,lira,28,class,8,2522,2523,0.3657,1.0000,0.7773,0.4243,0.1665
318,lira,28,class,9,2329,2330,0.3360,1.0000,0.7532,0.3757,0.1464
319,lira,29,Entire dataset,,36625,36632,0.2723,1.0000,0.7146,0.3242,0.0938
320,lira,29,class,0,2474,2474,0.2728,1.0000,0.7103,0.3137,0.0606
321,lira,29,class,1,6930,6931,0.1980,1.0000,0.6570,0.2589,0.0470
322,lira,29,class,2,5292,5293,0.2129,1.0000,0.6690,0.2638,0.0610
323,lira,29,class,3,4248,4249,0.3537,1.0000,0.7651,0.3974,0.0953
